svg,svg_id,label,status_text,status_color,modal_before,modal_after
Escenario9.svg,pez1,Pescado se Extinguio!,,#e50606,,
Escenario9.svg,meta1,Temporada Demasiado Larga! Sin Restriccion,,#e50606,,
Escenario9.svg,barco1,Demasiados Barcos! Sin Restriccion,,#e50606,,
